feature,importance
nr.employed,0.2026734961282535
age,0.1563113591453657
campaign,0.07845763956954817
euribor3m,0.07710980571340097
cons.conf.idx,0.04371883425125972
housing_no,0.019007419906325877
job_admin.,0.018921406824813615
marital_single,0.01694631745482981
cons.price.idx,0.016466177076354307
education_high.school,0.016458386946796296
day_of_week_fri,0.016411662119102364
education_university.degree,0.014636569314878174
day_of_week_wed,0.014572409128954895
job_blue-collar,0.014542637896816684
day_of_week_mon,0.014217163219284975
marital_married,0.013964449015749465
job_services,0.013449694612081103
housing_yes,0.01309930688078303
job_technician,0.012731761038703616
default_unknown,0.012506474501041288
education_basic.9y,0.012460416766345484
pdays,0.012283922653498048
loan_no,0.01223828029265013
education_professional.course,0.012178688779044414
loan_yes,0.012041985643783193
day_of_week_tue,0.011937474437842798
day_of_week_thu,0.011931067769590421
marital_divorced,0.01068591061638986
job_management,0.01057107975889084
default_no,0.008771941203042189
education_basic.6y,0.00812873084023009
education_unknown,0.007902843416262446
education_basic.4y,0.007605400579586229
job_entrepreneur,0.006649436011692217
month_oct,0.006469572609531453
job_self-employed,0.006110670277882559
previous,0.005608181938749748
contact_telephone,0.004859049046580039
poutcome_failure,0.0043264159257990166
emp.var.rate,0.0040440682049721075
job_unemployed,0.003917751626377905
job_student,0.0038209887401937296
contact_cellular,0.003640272968262538
job_housemaid,0.003170852236568673
poutcome_nonexistent,0.0030269497370305092
month_jul,0.0027865192041814546
job_unknown,0.0026064229906686623
job_retired,0.002426842444076009
housing_unknown,0.0019637735503710133
month_may,0.0018255730197929297
loan_unknown,0.0013165213492103848
month_nov,0.0012883627029280323
month_jun,0.0011690549770363087
month_sep,0.0011371475569229516
month_mar,0.000831987003338564
marital_unknown,0.0008169771073308669
month_aug,0.0006845141038797284
poutcome_success,0.0004175271825380721
month_apr,0.00014385398258496068
education_illiterate,0.0
default_yes,0.0
month_dec,0.0
